term_id;term_name;taxonomy_name
74339;ESW Main Host;job_title
74338;Fractional CMO, Cyber Angel Investor and Advisor;job_title
74337;Sr. InfoSec Consultant – Online Business Systems;job_title
74336;SVP, Chief Information Risk Officer;job_title
74333;Executive Vice President, Head of Services;job_title
74332;"CISO - Services, Distribution &amp; Digital";job_title
74331;VP Information Security Architecture, Cloud and Data Protection;job_title
74325;SVP of Optiv Services;job_title
74320;Sr. Director, GRC;job_title
74318;Senior Director, BISO;job_title
74317;CSTO;job_title
74314;Senior Director, Global Cyber Security and Information Governance;job_title
74311;Fmr Fortune 50 CISO, Cybersecurity Collaborative Board Advisor;job_title
74309;"Global Chief Security Officer &amp; Digital Business Enablement Executive";job_title
74306;"Sr. Director, IT Infrastructure &amp; Cybersecurity";job_title
74304;A-CIO;job_title
74281;Global Cybersecurity Governance, Risk and Compliance Director;job_title
74276;Director Information Security and Cloud Architect;job_title
74274;VP;job_title
74273;Director of Information and Cyber Security;job_title
74270;vCISO and Adjunct Facility;job_title
74267;"VP, Global Security &amp; Chief Information Security Officer";job_title
74265;"Director, Security Operations &amp; Engineering";job_title
74261;EVP, Chief Security Officer;job_title
74257;SVP, Deputy CISO;job_title
74248;Sr. Director Information Security;job_title
74241;"Manager, IT, Risk &amp; Security Management Organization";job_title
74234;EVP of Strategy;job_title
74228;Open Source Security Podcast Malevolent Dictator;job_title
74225;Gary Orenstein;job_title
74222;Senior Director, Information Security and Compliance;job_title
74217;SVP, Security Operations;job_title
74216;Senior Director IT Infrastructure;job_title
74215;"VP, Information Security Architecture &amp; Engineering";job_title
74211;Cyber Angel Investor and Advisor;job_title
74210;Sr. InfoSec Consultant – Online Business Systems, Director DEI;job_title
74206;Senior Manager, Security;job_title
74205;Information Technology Infrastructure;job_title
74203;VP of IT Governance, Risk and Compliance;job_title
74200;EAB Global;job_title
74196;"Sr. Director, Information Risk Management &amp; BISO Services";job_title
74191;VP , Executive Partner;job_title
74190;"Chief Operations &amp; Technology Officer";job_title
74189;"CISO &amp; SVP, Corporate Information Technology";job_title
74186;"VP, Chief Digital &amp; Information Technology Officer";job_title
74184;Developer Realtions;job_title
74183;EVP, Product Strategy;job_title
74179;Information Security Program Management;job_title
74178;Global Director, Manufacturing and Manufacturing Cybersecurity Chief and Officer;job_title
74177;"Director of IT Security &amp; Risk Management";job_title
74176;Director Enterprise Security (CISO/CSO);job_title
74175;Cyber and Information Security Director;job_title
74172;North American Head of IDM Risk, Audit, Compliance, Governance;job_title
74170;Director, Cybersecurity Operations;job_title
74162;Chief Digital Trust Officer;job_title
74161;Sr. Manager, Security Operations;job_title
74154;Senior Vice President, Cybersecurity;job_title
74150;Kraftheinz;job_title
74148;Interim CISO;job_title
74147;Principal Strategist;job_title
74143;"CSO &amp; Technology Capability Lead";job_title
74140;"Manager, Member Engagement &amp; Operations";job_title
74136;"CISSP &amp; CISO";job_title
74132;"Corporate VP &amp; Global CISO";job_title
74127;VP, Cybersecurity and Data Protection;job_title
74125;V.P. of Cybersecurity Strategy;job_title
74103;Chief Strategy and Chief Security Officer;job_title
74090;VP, Zero Trust Access;job_title
74088;"Senior Manager Cybersecurity &amp; Network Engineering";job_title
74085;Chief Information Officer, Retail Technology;job_title
74082;Chief Privacy Officer, CISO;job_title
74081;Director, Cyber Security Project;job_title
74077;"SVP of Product Management &amp; General Manager, Application Security";job_title
74076;Information Security Director;job_title
74075;Vice President of Information Security;job_title
74073;VP Trust and Digital Ethics;job_title
74069;CISO/VP Digital Security;job_title
74067;Director Enterprise I/S and Security;job_title
74066;Director, Head of Security, Compliance and Risk (CISO);job_title
74065;Vice President, CISO, U.S. Operations;job_title
74064;Senior Director of Cyber Security;job_title
74062;"Senior VP &amp; Chief Risk Officer";job_title
74060;SVP- Chief Security Officer;job_title
74059;Cyber Security Director;job_title
74058;Sr Director Technology;job_title
74057;"Vice President &amp; Head of Global Information Security";job_title
74056;Chief Strategy and Innovation Officer;job_title
74055;VP of Information Systems;job_title
74054;"Senior Staff Cyber Security Architect, Cybersecurity &amp; Technology Risk";job_title
74052;"Manager, Information Technology Information Risk &amp; Security Management Organization";job_title
74049;AVP, CISO;job_title
74044;Senior Director, Deputy CISO;job_title
74041;Sr. Information Security Consultant;job_title
74038;Sr. Director of Information Security;job_title
74036;VP Information Technology;job_title
74035;Sr. Information Security Engineer;job_title
74034;VP of Global IT Security, CISO;job_title
74032;"Director, Information Security &amp; PMO";job_title
74030;"Director, Security &amp; Compliance";job_title
74029;Managing Director, Cybersecurity;job_title
74028;Sr. Director - GRC, Security, Privacy;job_title
74027;"Information Security &amp; Compliance Officer";job_title
74026;"Chief Information Security Officer &amp; Assistant General Manager, Information Security";job_title
74025;Director, Information Protection and Security/CISO;job_title
74023;"VP, IT Infrastructure &amp; Cybersecurity";job_title
74022;Director of Security Operations and Engineering;job_title
74020;"VP &amp; Chief Information Security Officer";job_title
74019;Global Cybersecurity Manager;job_title
74018;VP, CSO;job_title
74017;Chief Information Security Officer (Americas);job_title
74016;Chief Privacy and Information Security Officer;job_title
74015;Director, Cyber Ops;job_title
74013;Former Regional Director, CISA Region 4;job_title
74012;Information Security Officer, North America;job_title
74011;Cybersecurity Director;job_title
74008;Director/CMS Chief Information Security Officer;job_title
74005;Global CISO, Corporate VP;job_title
74003;VP, Product;job_title
74002;SVP, Security Assurance;job_title
73992;Deputy CISO – Director of Cybersecurity;job_title
73986;"Chief Information Security Officer, Vice President Enterprise Security &amp; Infrastructure";job_title
73984;VP of Product Marketing;job_title
73983;Director of Incident Response;job_title
73979;Global Cybersecurity;job_title
73970;"Chief Information Security &amp; Data Officer";job_title
73968;Global Vice Chair - Risk Advisory;job_title
73967;Global CISO, Board Advisor;job_title
73966;VP | CISO;job_title
73961;"Former Local Government IT Executive, Current VP Cyber Sales &amp; Marketing";job_title
73960;VP, Global Cyber Security;job_title
73959;CISO/International President of ISSA;job_title
73958;Chief Information Security Officer and VP of Trust;job_title
73957;Chief of Office, Cyber, Seattle;job_title
73956;"Director of Offensive Security &amp; Research at Trimarc and Founder &amp; CEO of Dark Element";job_title
73950;Managing Director for Cybersecurity;job_title
73943;Author;job_title
73928;CISO, ;job_title
73919;EVP, CSO;job_title
73916;SVP, Cyber Security Strategy and Digital Innovation;job_title
73915;"IT Security &amp; Compliance Manager ";job_title
73914;Global Head of Information Security and Compliance;job_title
73910;"Director of Security &amp; Continuity";job_title
73909;Sr. Vice President and COO;job_title
73906;Cloud Security Architect;job_title
73899;"Director, IT Security &amp; Compliance";job_title
73894;VP of Cybersecurity;job_title
73884;Regional Director, CISA Region 4;job_title
73883;Sr. Director, GRC, Security, Privacy;job_title
73878;Director of IT Security and Risk;job_title
73875;"Director, IT &amp; Cyber Security";job_title
73871;"Vice President, Information Security &amp; CISO";job_title
73870;SVP, Chief Security Officer ;job_title
73869;SVP, Enterprise Information Security Manager ;job_title
73868;Manager, Information Security Director, Intel IT;job_title
73865;Vice President - Chief Information Security Officer;job_title
73860;Global Cybersecurity Director;job_title
73858;VP, Deputy CISO;job_title
73855;"CPO &amp; CISO";job_title
73842;CIPSO;job_title
73841;Director Cyber Ops;job_title
73840;Director of Information Secuirity;job_title
73833;CISO, Cisco Cloud;job_title
73832;Vice Chancellor and Chief Information Officer;job_title
73830;"VP Corporate &amp; Information Security CSO CISM";job_title
73828;Agency Information Security Officer;job_title
73825;SVP, Chief Privacy;job_title
73822;"Vice President, Architecture, Programs, Strategy &amp; Innovation";job_title
73821;Head of Cybersecurity and Risk;job_title
73820;Director Information Security/CISO;job_title
73816;Director, Global Information Security;job_title
73815;Director, Corporate Security - Cyber Security Operations;job_title
73814;Director, Corporate Security;job_title
73813;Executive Director Cyber Payments, Fraud, Insider Threat Analytics;job_title
73810;CIO Sr. VP Technology;job_title
73795;Vice President and Chief Information Security Officer;job_title
73793;Supervisory Special Agent;job_title
73792;VP, Info Security;job_title
73789;"Assistant VP &amp; CISO";job_title
73787;Cybersecurity Compliance Risk Manager ;job_title
73785;Director Infrastructure Solutions;job_title
73784;SVP CIO/CISO;job_title
73783;CISO, New Initiatives;job_title
73781;CTSO, Mentor;job_title
73777;"VP, Security &amp; IT";job_title
73774;"Vice President &amp; Information Security Officer (Service Operations)";job_title
73770;Enterprise Information Security Officer;job_title
73768;Sr. Manager, Cyber Security Operations;job_title
73767;Head of Global Cyber Risk Governance;job_title
73759;VP, Information Technology;job_title
73757;CISO - Director Information Security;job_title
73753;"Information Security Officer &amp; Director, Network &amp; Telecommunications";job_title
73750;SVP, IS;job_title
73745;Director of Information Security and Compliance;job_title
73740;"Director, Enterprise Architecture &amp; CISO";job_title
73736;Principal Security Architect;job_title
73731;EVP, CISO;job_title
73730;VP IT Security;job_title
73725;CISO and VP of IT;job_title
73723;Senior Manager for Information Security and IT Compliance;job_title
73720;VP-Security;job_title
73714;VP and Global CISO;job_title
73710;"Director, Infrastructure &amp; Security";job_title
73707;Americas CISO;job_title
73702;"VP, Global Cyber Governance, Risk, and Compliance &amp; BISO";job_title
73701;VP/CISO;job_title
73698;Cybersecurity Technology Director;job_title
73696;Sr. Director, Information Security;job_title
73688;Vice President, CISO;job_title
73685;VP,CISO;job_title
73667;Vice President, Director, Technology Risk Officer;job_title
73661;Chief Security Officer (CSO);job_title
73659;"Vice President &amp; Chief Information Security Officer (CISO)";job_title
73658;Vice Chancellor, CIO;job_title
73656;Information Security;job_title
73655;"Director, Information &amp; Technology Services";job_title
73654;"VP Corporate &amp; Information Security CSO";job_title
73652;Manager Information Security;job_title
73651;"Head of Cybersecurity &amp; Risk";job_title
73650;"VP of Technology - Seattle Kraken &amp; Kraken Community Iceplex";job_title
73649;Executive Director Cyber Threat Intelligence;job_title
73648;SVP, Chief Information Security Officer;job_title
73646;Sr. Manager Information Security;job_title
73643;Senior Director of Cybersecurity;job_title
73640;Dir IT Security and Compliance;job_title
73634;"Director, IT, Security, &amp; Compliance";job_title
73631;State Chief Information Security Officer;job_title
73630;CRO/CISO;job_title
73629;Managing Director, CIO US;job_title
73626;"Vice President, Chief Digital &amp; Information Technology Officer";job_title
73528;Director of Community Content;job_title
73525;Senior Editor, Healthcare;job_title
73523;Director of Cyber Protection Solutions;job_title
73522;Founder and Managing Director;job_title
73500;VP, Content Strategy;job_title
73497;"Director of Offensive Security &amp; Research at Trimarc Security, Founder &amp; CEO";job_title
73494;Security Partner;job_title
73493;Information Assurance APL;job_title
73491;"Founder; Primary Consultant";job_title
73490;#HackingisNotaCrime Advocate, Sr. InfoSec Consultant;job_title
73487;Principal Consultant, Team Lead for Research;job_title
73486;"Principal Managing Consultant and Director of Research &amp; Development";job_title
73482;Technical Product Architect;job_title
73474;"COO &amp; Co-Founder";job_title
73473;Assistant Professor of Computer Science;job_title
73472;"Content Chair, Identiverse; Chair, IDPro";job_title
73469;Lead Incident Detection Engineer;job_title
73455;Founder and Chief Security Officer;job_title
73447;Sr. Cybersecurity Strategist;job_title
73425;Senior Director, Cyber Risk Strategy;job_title
73419;Founder of SecuRepairs.org;job_title
73418;Global Advisory CISO;job_title
73412;Cloud Security Consultant;job_title
73403;Senior Research Scholar, Cyber Conflict Studies, SIPA;job_title
73399;Chief GeeK/CEO/Founder;job_title
73395;DilDog;job_title
73384;CTO and Chief Security Architect;job_title
73360;Regional CISO and Global Cyber Security GRC Lead;job_title
73349;Director of Ops;job_title
73342;VP of Business Development;job_title
73318;VP - CISO;job_title
73310;Founder/Chair/CTO;job_title
73305;VP, Zero Trust Access • ZTNA Engineering;job_title
73303;Software Security;job_title
73299;Senior Principal Product Technologist;job_title
73279;Editor in Chief;job_title
73270;Director of Technology, Office of the CTO, Imperva;job_title
73264;Former CSO, Board member, Advisor;job_title
73239;Industry Analyst;job_title
73237;"Managing Director &amp; CISO";job_title
73236;"Chief Security Officer &amp; Technology Capability Lead";job_title
73233;VP, Product Management;job_title
73229;CSO - Founder;job_title
73218;"Chief Security Scientist &amp; Advisory CISCO";job_title
73213;Global Chief Security Officer;job_title
73205;"VP, IT &amp; Information Security Officer";job_title
73202;Vice President of Success;job_title
73199;VP Platform Strategy and Trust;job_title
73177;CISO/CTO @ TrustMAPP;job_title
73171;Vice President, Cybersecurity Strategy;job_title
73165;AVP IT Security;job_title
73164;Chief Executive Officer and Co-Founder;job_title
73146;VP, GM of International and Global Security Programs;job_title
73133;VP of Operations;job_title
73131;"SVP &amp; Executive Director";job_title
73110;Head of Solutions Strategy;job_title
73107;Safebreach Labs lead;job_title
73105;"Analyst, Security &amp; Risk";job_title
73052;Application Security Advocate;job_title
73030;Conference Organizer;job_title
73027;Managing Director of Network Operations;job_title
73014;Information Security Evangelist;job_title
73001;Director of Research;job_title
72989;VP Federal Technology;job_title
72978;Senior Information Security Specialist;job_title
72970;Founder, I am The Cavalry / recently Chief Strategist for the CISA COVID Task Force;job_title
72967;Lead Security Principal;job_title
72965;Security Theoretician;job_title
72961;Sr Cyber Strategist;job_title
72960;Senior Manager, Application Experience;job_title
72957;"Founder; Security Professional";job_title
72953;"Information Security &amp; Privacy Officer";job_title
72947;Senior Investigator;job_title
72945;Head of AppSec;job_title
72943;Director of Cybersecurity Initiatives;job_title
72925;Senior Research Engineer;job_title
72924;Thinkst;job_title
72921;Sr Product Manager;job_title
72914;Sr. Director of Product Marketing;job_title
72907;Senior Vice President, Cybersecurity Coordination and Advocacy;job_title
72903;"Founder / CEO &amp; President";job_title
72880;Chief Mobility Officer;job_title
