personDisplayName,firstName,middleName,lastName,jobTitle,company,bio,comments
Shane O'Donnell,Shane,,O'Donnell,,,,
Tom Goodman,Tom,,Goodman,,,,
Throop Wilder,Throop,,Wilder,,,,
Bryan Sartin,Bryan,,Sartin,,,,
"Dow A. Williamson, CISSP",Dow,A.,Williamson,,,,
Jan Hichert,Jan,,Hichert,,,,
Jackie Groves,Jackie,,Groves,,,,
Paul Rutherford,Paul,,Rutherford,,,,
Carl Gohringer,Carl,N.,Gohringer,,,,
Glyn Baker,Glyn,,Baker,,,,
Stephen Scharf,Stephen,,Scharf,,,,
Ron Miller,Ron,,Miller,,,,
Oliver Tattan,Oliver,,Tattan,,,,
Kevin LeBlanc,Kevin,,LeBlanc,,,,
Chris Belthoff,Chris,,Belthoff,,,,
Robert Clyde,Robert,,Clyde,,,,
Gerhard Eschelbeck,Gerhard,,Eschelbeck,,,,
Dan Taylor,Dan,,Taylor,,,,
Tony Anscombe,Tony,,Anscombe,,,,
Landon Curt Noll,Landon,Curt,Noll,,,,
Iain Franklin,Iain,,Franklin,,,,
Ian Tickle,Ian,,Tickle,,,,
Robert Lonadier,Robert,,Lonadier,,,,
Steve Mathews,Steve,,Mathews,,,,
Pete Simpson,Pete,,Simpson,,,,
Joan Herbig,Joan,,Herbig,,,,
Scott C. Nevins,Scott,C.,Nevins,,,,
Anthony T. Baratta,Anthony,T.,Baratta,,,,
Russ Cummings,Russ,,Cummings,,,,
Fernando de la Cuadra,Fernando,,Cuadra,,,,
Mark Searle,Mark,,Searle,,,,
David Love,David,,Love,,,,
Richard Moulds,Richard,,Moulds,,,,
Philip Conrod,Philip,,Conrod,,,,
Linda Hughes,Linda,,Hughes,,,,
Robert V. Jacobson,Robert,V.,Jacobson,,,,
Mark Altman,Mark,,Altman,,,,
Matt Tomlinson,Matt,,Tomlinson,,,,
Amer Deeba,Amer,,Deeba,,,,
Jack Clark,Jack,,Clark,,,,
Dick Mackey,Dick,,Mackey,,,,
Nathan Millard,Nathan,,Millard,,,,
Sadie Creese,Sadie,,Creese,,,,
Diana Kelley,Diana,,Kelley,,,,
Kurt Lennartsson,Kurt,,Lennartsson,,,,
Jeff Drake,Jeff,,Drake,,,,
Alan Lycett,Alan,,Lycett,,,,
Paul Ardoin,Paul,,Ardoin,,,,
Vanessa Chandrasekaran,Vanessa,,Chandrasekaran,,,,
Peter Wood,Peter,,Wood,,,,
Ron Baklarz,Ron,,Baklarz,,,,
Steve Schlesinger,Steve,,Schlesinger,,,,
Richard Lowe,Richard,,Lowe,,,,
Martin Sutherland,Martin,,Sutherland,,,,
Robert Chapman,Robert,,Chapman,,,,
Mike Small,Mike,,Small,,,,
Paul Collins,Paul,,Collins,,,,
Richard Walters,Richard,,Walters,,,,
Guy Vancollie,Guy,,Vancollie,,,,
William J Malik,William,J,Malik,,,,
Adrian Reid,Adrian,,Reid,,,,
Ann James,Ann,,James,,,,
Kevin Thiele,Kevin,,Thiele,,,,
Ken Douglas,Ken,,Douglas,,,,
Jack Nagle,Jack,,Nagle,,,,
Mike Lee,Mike,,Lee,,,,
Dennis Seymour Lee,Dennis,Seymour,Lee,,,,
Olivier Chavrier,Olivier,,Chavrier,,,,
Simon Foster,Simon,,Foster,,,,
Kerry Davies,Kerry,,Davies,,,,
Paul Jackson,Paul,,Jackson,,,,
Jim Simmons,Jim,,Simmons,,,,
Franklyn Jones,Franklyn,,Jones,,,,
Jim Burns,Jim,,Burns,,,,
Diane Seddon,Diane,,Seddon,,,,
Kevin Riches,Kevin,,Riches,,,,
Steve Lord,Steve,,Lord,,,,
Bob Lonadier,Bob,,Lonadier,,,,
Ian Davidson,Ian,,Davidson,,,,
Jerome Nadel,Jerome,,Nadel,,,,
Carole Theriault,Carole,,Theriault,,,,
Stu Vaeth,Stu,,Vaeth,,,,
Elizabeth J. Wood,Elizabeth,J.,Wood,,,,
Robin Gaddum,Robin,,Gaddum,,,,
Lee Imrey,Lee,,Imrey,,,,
Dave Birch,Dave,,Birch,,,,
Jon Callas,Jon,,Callas,,,,
Tim Keanini,Tim,,Keanini,,,,
Peter Jopling,Peter,,Jopling,,,,
Chris Burchett,Chris,,Burchett,,,,
Keith Tilley,Keith,,Tilley,,,,
Neal Ysart,Neal,,Ysart,,,,
James L. Bindseil,James,L.,Bindseil,,,,
Chris Pick,Chris,,Pick,,,,
Stephen Wilson,Stephen,,Wilson,,,,
Caleb Sima,Caleb,,Sima,,,,
Abhishek Chauhan,Abhishek,,Chauhan,,,,
Bob Whelan,Bob,,Whelan,,,,
Ryon Packer,Ryon,,Packer,,,,
Steve Crawford,Steve,,Crawford,,,,
Julie Jervis,Julie,,Jervis,,,,
Ben Rothke,Ben,,Rothke,,,,
Barbara Gengler,Barbara,,Gengler,,,,
Julie Jervus,Julie,,Jervus,,,,
Ron Mobed,Ron,,Mobed,,,,
Jerry Harold,Jerry,,Harold,,,,
Elton Hay,Elton,,Hay,,,,
David Hicks,David,,Hicks,,,,
Tana Scouras,Tana,,Scouras,,,,
Chris Mullins,Chris,,Mullins,,,,
John Young,John,,Young,,,,
Carlos Valiente,Carlos,,Valiente,,,,
John Patzakis,John,,Patzakis,,,,
Tari Schreider,Tari,,Schreider,,,,
Louise Murray,Louise,,Murray,,,,
Ray Zadjmool,Ray,,Zadjmool,,,,
Roger Sullivan,Roger,,Sullivan,,,,
John Korsak,John,,Korsak,,,,
Stewart Buchanan,Stewart,,Buchanan,,,,
Jon Bogen,Jon,,Bogen,,,,
Daniel Murton,Daniel,,Murton,,,,
Curtis Franklin,Curtis,,Franklin,,,,
Dave Piscitello,Dave,,Piscitello,,,,
Steve Gold,Steve,,Gold,,,,
David Foote,David,,Foote,,,,
Marcia Savage,Marcia,,Savage,,,,
Mark Fischer,Mark,,Fischer,,,,
Bob Heard,Bob,,Heard,,,,
Richard Andrews,Richard,,Andrews,,,,
John Woodward,John,,Woodward,,,,
Jason Buffington,Jason,,Buffington,,,,
Richard O'Connor,Richard,,O'Connor,,,,
Philip Carter,Philip,,Carter,,,,
Stuart Vaeth,Stuart,,Vaeth,,,,
Robert Blakley,Robert,,Blakley,,,,
Paul Lawrence,Paul,,Lawrence,,,,
Itay Haber,Itay,,Haber,,,,
Peter Doyle,Peter,,Doyle,,,,
Ric Steinberger,Ric,,Steinberger,,,,
Abishek Chauhan,Abishek,,Chauhan,,,,
Larry Gilbert,Larry,,Gilbert,,,,
Larry Lunetta,Larry,,Lunetta,,,,
Rodney Denno,Rodney,,Denno,,,,
David Cullinane,David,,Cullinane,,,,
Lisa Dargan,Lisa,,Dargan,,,,
Yona Hollander,Yona,,Hollander,,,,
Sarah Gordon,Sarah,,Gordon,,,,
Michael P. Flaherty,Michael,P.,Flaherty,,,,
Ian Emery,Ian,,Emery,,,,
Dan MacDonald,Dan,,MacDonald,,,,
Neil Gehani,Neil,,Gehani,,,,
Carlos Ardanza,Carlos,,Ardanza,,,,
Scott S. Blake,Scott,S.,Blake,,,,
Jason B. Lee,Jason,B.,Lee,,,,
Ralph Shaw,Ralph,,Shaw,,,,
Rett Summerville,Rett,,Summerville,,,,
Peder Jungck,Peder,,Jungck,,,,
Jaime Borrego,Jaime,,Borrego,,,,
Paul Barker,Paul,,Barker,,,,
S. K. Ganapathi,S.,K.,Ganapathi,,,,
Richard Willmott,Richard,,Willmott,,,,
Mark Epstein,Mark,,Epstein,,,,
Todd Lawson,Todd,,Lawson,,,,
John Bernardi,John,,Bernardi,,,,
Vince Liu,Vince,,Liu,,,,
Joseph Steinberg,Joseph,,Steinberg,,,,
Dan Mares,Dan,,Mares,,,,
Arnt Brox,Arnt,,Brox,,,,
Amit Klein,Amit,,Klein,,,,
Jay Chaudhry,Jay,,Chaudhry,,,,
Jack Wiles,Jack,,Wiles,,,,
Tanya Candia,Tanya,,Candia,,,,
Melisa LaBancz,Melisa,,LaBancz,,,,
Bob Ayers,Bob,,Ayers,,,,
Malcolm Rieke,Malcolm,,Rieke,,,,
Jayne Parkhouse,Jayne,,Parkhouse,,,,
Anton Chuvakin,Anton,,Chuvakin,,,,
Alan B. Sterneckert,Alan,B.,Sterneckert,,,,
Taher Elgamal,Taher,,Elgamal,,,,
Dan Cuthbert,Dan,,Cuthbert,,,,
Thresa Lang,Thresa,,Lang,,,,
Bob Brennan,Bob,,Brennan,,,,
Sean Jackson,Sean,,Jackson,,,,
Steven Jenkins,Steven,,Jenkins,,,,
Martin. W. Dougall,Martin.,W.,Dougall,,,,
Tony Caine,Tony,,Caine,,,,
Teresa Lang,Teresa,,Lang,,,,
Ed Hearst,Ed,,Hearst,,,,
Andy Evans,Andy,,Evans,,,,
Dan Thomsen,Dan,,Thomsen,,,,
Brad C. Johnson,Brad,C.,Johnson,,,,
Dean Coza,Dean,,Coza,,,,
Stuart King,Stuart,,King,,,,
Bruno Lassus,Bruno,,Lassus,,,,
Graham Peat,Graham,,Peat,,,,
Harry Gostling,Harry,,Gostling,,,,
Nigel Hawthorn,Nigel,,Hawthorn,,,,
Peter Crowcombe,Peter,,Crowcombe,,,,
Colin Wells,Colin,,Wells,,,,
Richard Jones,Richard,,Jones,,,,
Humphrey Browning,Humphrey,,Browning,,,,
Sal Viveros,Sal,,Viveros,,,,
Kevin Cunningham,Kevin,,Cunningham,,,,
James Teel,James,,Teel,,,,
Perry Norton,Perry,,Norton,,,,
Peter Shillito,Peter,,Shillito,,,,
Peter Curran,Peter,,Curran,,,,
Joseph Vaughn-Perling,Joseph,,Vaughn-Perling,,,,
Dorsey Morrow,Dorsey,,Morrow,,,,
Jason Wright,Jason,,Wright,,,,
Allen Chilver,Allen,,Chilver,,,,
Errol Rhoden,Errol,,Rhoden,,,,
Andy Druda,Andy,,Druda,,,,
Paul A. Williams,Paul,A.,Williams,,,,
Dave Lang,Dave,,Lang,,,,
Alan Sterneckert,Alan,,Sterneckert,,,,
Bill Van Emburg,Bill,Van,Emburg,,,,
Richard R. Starnes,Richard,R.,Starnes,,,,
Andrew Rathmell,Andrew,,Rathmell,,,,
Edward Hearst,Edward,,Hearst,,,,
Steve Crutchley,Steve,,Crutchley,,,,
Chris O'Ferrell,Chris,,O'Ferrell,,,,
Bruce Murphy,Bruce,,Murphy,,,,
Simon Waring,Simon,,Waring,,,,
Steven J. Ross,Steven,J.,Ross,,,,
Andrew Christensen,Andrew,,Christensen,,,,
Peter Davies,Peter,,Davies,,,,
Micki Krause,Micki,,Krause,,,,
Nigel Hope,Nigel,,Hope,,,,
April Nelson,April,,Nelson,,,,
Adam Holder,Adam,,Holder,,,,
Richard Aufreiter,Richard,,Aufreiter,,,,
Chester Soong,Chester,,Soong,,,,
Drew Williams,Drew,,Williams,,,,
Robert Lendvai,Robert,,Lendvai,,,,
Laurie Mcquillan,Laurie,,Mcquillan,,,,
Nathan Tennant,Nathan,,Tennant,,,,
R. Subha Vivek,R.,Subha,Vivek,,,,
Barton Taylor,Barton,,Taylor,,,,
Mark Becker,Mark,,Becker,,,,
Aarti Anhal,Aarti,,Anhal,,,,
Ken Shaurette,Ken,,Shaurette,,,,
Bryan Davies,Bryan,,Davies,,,,
John Holden,John,,Holden,,,,
Bart Taylor,Bart,,Taylor,,,,
Alyn Hockey,Alyn,,Hockey,,,,
Robert Roussey,Robert,,Roussey,,,,
Simon Jenner,Simon,,Jenner,,,,
David Thomason,David,,Thomason,,,,
Oba McMillan,Oba,,McMillan,,,,
Neil Robinson,Neil,,Robinson,,,,
Andy Coote,Andy,,Coote,,,,
Nick Booth,Nick,,Booth,,,,
Neil Chaney,Neil,,Chaney,,,,
Mark Ungerman,Mark,,Ungerman,,,,
Jeffrey N Reich,Jeffrey,N,Reich,,,,
Gary K. Saidman,Gary,K.,Saidman,,,,
Andy Infante,Andy,,Infante,,,,
Don Parker,Don,,Parker,,,,
Richard Williams,Richard,,Williams,,,,
Roger Hardiman,Roger,,Hardiman,,,,
Sarah Merrion,Sarah,,Merrion,,,,
James R. Wade,James,R.,Wade,,,,
John Sterlicchi,John,,Sterlicchi,,,,
Nick Ray,Nick,,Ray,,,,
David Brunswick,David,,Brunswick,,,,
Jamie Cowper,Jamie,,Cowper,,,,
Peter Wenham,Peter,,Wenham,,,,
Steve Purser,Steve,,Purser,,,,
Indy Chakrabarti,Indy,,Chakrabarti,,,,
Mary Ann Davidson,Mary,Ann,Davidson,,,,
James Janisse,James,,Janisse,,,,
Francois Bourdeau,Francois,,Bourdeau,,,,
Randy Budde,Randy,,Budde,,,,
Russell Sarder,Russell,,Sarder,,,,
Dan Nadir,Dan,,Nadir,,,,
Bruce Hendrix,Bruce,,Hendrix,,,,
Lannon Rowan,Lannon,,Rowan,,,,
Tony Morrish,Tony,,Morrish,,,,
David Williamson,David,,Williamson,,,,
Mark Harris,Mark,,Harris,,,,
"Simon Heron, director, Network Box",Simon,,Heron,director,Network Box,,
Colin Gray,Colin,,Gray,,,,
Ian Schenkel,Ian,,Schenkel,,,,
Rajesh Patel,Rajesh,,Patel,,,,
Andrew Wilson,Andrew,,Wilson,,,,
Jim McGrath,Jim,,McGrath,,,,
Paul Kurtz,Paul,,Kurtz,,,,
Omon Edeki,Omon,,Edeki,,,,
Neil Robertson,Neil,,Robertson,,,,
Bob Jones,Bob,,Jones,,,,
Steve Keohane,Steve,,Keohane,,,,
Glenn Stephens,Glenn,,Stephens,,,,
James White,James,,White,,,,
Steve Ronksley,Steve,,Ronksley,,,,
Paul Hickingbotham,Paul,,Hickingbotham,,,,
Glenn Choquette,Glenn,,Choquette,,,,
Rosa Caputo,Rosa,,Caputo,,,,
Luke Brown,Luke,,Brown,,,,
Denny Meijer,Denny,,Meijer,,,,
Kristin Gallina Lovejoy,Kristin,Gallina,Lovejoy,,,,
David D'Agostino,David,,D'Agostino,,,,
Jeff Schultz,Jeff,,Schultz,,,,
Marc Malizia,Marc,,Malizia,,,,
John Edwards,John,,Edwards,,,,
Barry Phillips,Barry,,Phillips,,,,
Robert Jaques,Robert,,Jaques,,,,
Phil Worms,Phil,,Worms,,,,
Neil Hare-Brown,Neil,,Hare-Brown,,,,
Simon Janes,Simon,,Janes,,,,
Bob Johnson,Bob,,Johnson,,,,
Rami Houbby,Rami,,Houbby,,,,
Dr. Horst Joepen,Horst,,Joepen,,,,
Rob Jaques,Rob,,Jaques,,,,
Scott Rasmussen,Scott,,Rasmussen,,,,
Joe Uniejewski,Joe,,Uniejewski,,,,
Tom Kuhr,Tom,,Kuhr,,,,
Bethany Mayer,Bethany,,Mayer,,,,
Edward Schenk,Edward,,Schenk,,,,
Soheila Amiri,Soheila,,Amiri,,,,
Vladimir Chernavsky,Vladimir,,Chernavsky,,,,
Ron Lepofsky,Ron,,Lepofsky,,,,
David Lynch,David,,Lynch,,,,
Matt Fisher,Matt,,Fisher,,,,
Gary Holland,Gary,,Holland,,,,
Joanna Shields,Joanna,,Shields,,,,
David Quainton,David,,Quainton,,,,
Joe Fantuzzi,Joe,,Fantuzzi,,,,
Tom Keane,Tom,,Keane,,,,
David Perry,David,,Perry,,,,
Kevin Mandia,Kevin,,Mandia,,,,
Brian Milas,Brian,,Milas,,,,
Yiannis Vassiliades,Yiannis,,Vassiliades,,,,
Martin Jacobs,Martin,,Jacobs,,,,
James Angle,James,,Angle,,,,
"Roberto Angelino, M.S.C.S.",Roberto,,Angelino,,M.S.C.S,,
Zoe Lowther,Zoe,,Lowther,,,,
Ken Watt,Ken,,Watt,,,,
Paul Butler,Paul,,Butler,,,,
Paul A. Henry,Paul,A.,Henry,,,,
John Roese,John,,Roese,,,,
Mark Smith,Mark,,Smith,,,,
Dave Martin,Dave,,Martin,,,,
Abhay Joshi,Abhay,,Joshi,,,,
Mark Murtagh,Mark,,Murtagh,,,,
Geoff Webster,Geoff,,Webster,,,,
Roy Hills,Roy,,Hills,,,,
Kirk Drake,Kirk,,Drake,,,,
Tareque Choudhury,Tareque,,Choudhury,,,,
Mike Smart,Mike,,Smart,,,,
Melville Carrie,Melville,,Carrie,,,,
Iain Chidgey,Iain,,Chidgey,,,,
Graeme Howe,Graeme,,Howe,,,,
Dr. Martin Kuhlmann,Martin,,Kuhlmann,,,,
Andrew Lee,Andrew,,Lee,,,,
Dr. Matthew Williamson,Matthew,,Williamson,,,,
Andre Yee,Andre,,Yee,,,,
Brian Mansfield,Brian,,Mansfield,,,,
Wallace Wang,Wallace,,Wang,,,,
Dr. Prem Chand,Prem,,Chand,,,,
Lance Braunstein,Lance,,Braunstein,,,,
Justin Opie,Justin,,Opie,,,,
Michael Burling,Michael,,Burling,,,,
Mark Elliott,Mark,,Elliott,,,,
Wayne Foster,Wayne,,Foster,,,,
John Porter,John,,Porter,,,,
David Beesley,David,,Beesley,,,,
Neil Lloyd,Neil,,Lloyd,,,,
Edward Schwartz,Edward,,Schwartz,,,,
Scott Gordon,Scott,,Gordon,,,,
Lee Ratzan,Lee,,Ratzan,,,,
Eugene Kuznetsov,Eugene,,Kuznetsov,,,,
Niall Moynihan,Niall,,Moynihan,,,,
Steve Wllson,Steve,,Wllson,,,,
Chris Minchin,Chris,,Minchin,,,,
Matt Peachey,Matt,,Peachey,,,,
Paul Meadowcroft,Paul,,Meadowcroft,,,,
Simon Edmed,Simon,,Edmed,,,,
Dr Hamid Jahankhani,Hamid,,Jahankhani,,,,
Alan Cohen,Alan,,Cohen,,,,
Chris Williams,Chris,,Williams,,,,
Patrik Runald,Patrik,,Runald,,,,
Charles Hayhoe,Charles,,Hayhoe,,,,
Dr. Jonathan Tuliani,Jonathan,,Tuliani,,,,
Michael Patterson,Michael,,Patterson,,,,
Jaime Chanaga,Jaime,,Chanaga,,,,
"Petri Säkkinen","Petri","","Säkkinen","",""
Graham Welch,Graham,,Welch,,,,
Josue Fontanez,Josue,,Fontanez,,,,
Lorne Boden,Lorne,,Boden,,,,
From Staff,From,,Staff,,,,
Bo Manning,Bo,,Manning,,,,
Merritt Maxim,Merritt,,Maxim,,,,
Amit Tailor,Amit,,Tailor,,,,
David Guyatt,David,,Guyatt,,,,
Vincent Bieri,Vincent,,Bieri,,,,
Patrick Jolly,Patrick,,Jolly,,,,
Jonathan Mepsted,Jonathan,,Mepsted,,,,
Robert Brown,Robert,,Brown,,,,
Jim Cupps,Jim,,Cupps,,,,
Jean-Francois Dechant,Jean-Francois,,Dechant,,,,
John Golden,John,,Golden,,,,
Robert Rawson,Robert,,Rawson,,,,
"Kevin Dickey, CISO, Conta Costa County, Calif.",Kevin,,Dickey,CISO,Contra Costa County,,
"Peter Stephenson, CERNS, East Michigan University",Peter,,Stephenson,,"The Center for Regional and National Security, at Eastern Michigan University (CeRNS)",,
"Peter Stephenson,CeRNS, East Michigan University",Peter,,Stephenson,DUPLICATE,,,
"Mary Ann Davidson, chief security officer, Oracle",Mary,Ann,Davidson,chief security officer,Oracle,,
Paul King,Paul,,King,,,,
Bernie Goulet,Bernie,,Goulet,,,,
Chris Andrew,Chris,,Andrew,,,,
Kristin Lovejoy,Kristin,,Lovejoy,,,,
Melissa Loveday,Melissa,,Loveday,,,,
Hamid Jahankhani,Hamid,,Jahankhani,,,,
Jim Carr,Jim,,Carr,,,,
Bill Scott,Bill,,Scott,,,,
"Sergio Pinon, Senior vice-president of security and risk services, MasterCard International",Sergio,,Pinon,Senior vice-president of security and risk services,MasterCard International,,
"Marci McCarthy, CEO & co-founder, Executive Alliance",Marci,,McCarthy,CEO & co-founder,Executive Alliance,,
Rajneet Ryatt,Rajneet,,Ryatt,,,,
Maksym Schipka,Maksym,,Schipka,,,,
Rick Blum,Rick,,Blum,,,,
Stuart Okin,Stuart,,Okin,,,,
Adrian Polley,Adrian,,Polley,,,,
Lloyd Hession,Lloyd,,Hession,,,,
Richard Hollis,Richard,,Hollis,,,,
David Bicknell,David,,Bicknell,,,,
Nimrod Reichenberg,Nimrod,,Reichenberg,,,,
Joe Stewart,Joe,,Stewart,,,,
Michael Foreman,Michael,,Foreman,,,,
Brandon Hoff,Brandon,,Hoff,,,,
Winn Schwartau,Winn,,Schwartau,,,,
Dave Cullinane,Dave,,Cullinane,,,,
Paul Johns,Paul,,Johns,,,,
Paul Galwas,Paul,,Galwas,,,,
Paul Myer,Paul,,Myer,,,,
Martin Teetz,Martin,,Teetz,,,,
Dave Taylor,Dave,,Taylor,,,,
David Stanley,David,,Stanley,,,,
Craig Pollard,Craig,,Pollard,,,,
David Emm,David,,Emm,,,,
David Zumwalt,David,,Zumwalt,,,,
Tim Mather,Tim,,Mather,,,,
Thomas Gilbert,Thomas,,Gilbert,,,,
Sarah Saltzman,Sarah,,Saltzman,,,,
Martin Allen,Martin,,Allen,,,,
William Eazel,William,,Eazel,,,,
"Jeff Combs, Alta Associates Inc.",Jeff,,Combs,,Alta Associates Inc,,
Alan Bentley,Alan,,Bentley,,,,
Gary Klinefelter,Gary,,Klinefelter,,,,
Frank Washkuch Jr.,Frank,,Washkuch Jr.,,,,
Craig Carpenter,Craig,,Carpenter,,,,
"Jayson Street, chief infosec engineer at Strategem 1 Solutions",Jayson,,Street,chief infosec engineer,Strategem 1 Solutions,,
Christopher Boyd,Christopher,,Boyd,,,,
Wiliiam Eazel,Wiliiam,,Eazel,,,,
Alan Murphy,Alan,,Murphy,,,,
Ari Tammam,Ari,,Tammam,,,,
Bill Carey,Bill,,Carey,,,,
James Middleton,James,,Middleton,,,,
Gene Fredriksen,Gene,,Fredriksen,,,,
"Bradley Dinerman, vp of information technology, MIS Alliance",Bradley,,Dinerman,vp of information technology,MIS Alliance,,
Goren Fink,Goren,,Fink,,,,
Brad Arkin,Brad,,Arkin,,,,
Chris Cahalin,Chris,,Cahalin,,,,
Joseph C. Panettieri,Joseph,C.,Panettieri,,,,
Ji Hyun Lee,Ji,Hyun,Lee,,,,
Sara Gates,Sara,,Gates,,,,
Dan Kaplan,Dan,,Kaplan,,,,
Andrew Stern,Andrew,,Stern,,,,
Jason Holloway,Jason,,Holloway,,,,
Richard Menta,Richard,,Menta,,,,
Lane Timmons,Lane,,Timmons,,,,
Rami Elron,Rami,,Elron,,,,
Amichai Schulman,Amichai,,Schulman,,,,
Ericka Chickowski,Ericka,,Chickowski,,,,
Peter Crawshaw,Peter,,Crawshaw,,,,
Phil Gould,Phil,,Gould,,,,
Joe Malec,Joe,,Malec,,,,
Randy Sanovic,Randy,,Sanovic,,,,
Andy Purdy Jr.,Andy,,Purdy Jr.,,,,
Gunter Ollman,Gunter,,Ollman,,,,
Olaf Siemens,Olaf,,Siemens,,,,
Sarbjit Sembhi,Sarbjit,,Sembhi,,,,
Donal Casey,Donal,,Casey,,,,
Ray Cavanaugh,Ray,,Cavanaugh,,,,
Gregory N. Akers,Gregory,N.,Akers,,,,
Nancy Edwards,Nancy,,Edwards,,,,
Bruce Pharr,Bruce,,Pharr,,,,
Peter Elliman,Peter,,Elliman,,,,
Aaron Bills,Aaron,,Bills,,,,
Scott McNealy,Scott,,McNealy,,,,
Richard Lawhorn,Richard,,Lawhorn,,,,
Jason James,Jason,,James,,,,
Jose Nazario,Jose,,Nazario,,,,
Chris Thom,Chris,,Thom,,,,
Todd Bransford,Todd,,Bransford,,,,
Paul Fisher,Paul,,Fisher,,,,
Larry Pesce,Larry,,Pesce,,,,
Michael Weider,Michael,,Weider,,,,
Chris Babel,Chris,,Babel,,,,
Ian Cook,Ian,,Cook,,,,
"Paul Kurtz, executive director, Cyber Security Industry Alliance",Paul,,Kurtz,executive director,Cyber Security Industry Alliance,,
"Kevin Watson, CEO, Verid",Kevin,,Watson,CEO,Verid,,
"Peter Stephenson, Norwich University",Peter,,Stephenson,,NorwichUniversity,,
Peter Stephenson,Peter,,Stephenson,DUPLICATE,,,
"Bill Conner, chairman, president and CEO, Entrust",Bill,,Conner,"chairman,president and CEO",Entrust,,
"Scott Brown, information security analyst, Colby-Sawyer College",Scott,,Brown,information security analyst,Colby-Sawyer College,,
"Luc Roy, vice president of product planning, Siemens Communications",Luc,,Roy,vice president of product planning,Siemens Communications,,
"Gene Fredriksen, CSO and vice president of technology and risk management, Raymond James Financial",Gene,,Fredriksen,CSO and vice president of technology and risk management,Raymond James Financial,,
Richard Clarke,Richard,,Clarke,,,,
"Andrea S. Kaufman, partner, Novak Biddle Venture Partners",Andrea,S.,Kaufman,partner,Novak Biddle Venture Partners,,
"Deborah Magid, director of software strategy for IBM's Venture Capital Group",Deborah,,Magid,director of software strategy,IBM's Venture Capital Group,,
Fiona Raisbeck,Fiona,,Raisbeck,,,,
"Paul Judge, CTO, Secure Computing",Paul,,Judge,CTO,Secure Computing,,
"Chris Andrew, vice president of security technologies, PatchLink",Chris,,Andrew,vice president of security technologies,PatchLink,,
